Activity_key_selector,english,kannada,hindi
Greet_Content_Options_Other_know_more_desc,Know more about namma yatri,ನಮ್ಮ ಯಾತ್ರಿ ಬಗ್ಗೆ ಇನ್ನಷ್ಟು ತಿಳಿದುಕೊಳ್ಳಿ,नम्मा यात्री के बारे में अधिक जानें
Greet_Content_Options_Other_live_board_title,Live Status Board,ಲೈವ್ ಸ್ಥಿತಿ ಬೋರ್ಡ್,लाइव स्टेटस बोर्ड
Greet_Content_Options_Other_live_board_desc,View namma yatri open data,ನಮ್ಮ ಯಾತ್ರಿ ಓಪನ್ ಡೇಟಾವನ್ನು ವೀಕ್ಷಿಸಿ,नम्मा यत्री खुला डेटा देखें
Request_Destination_Location,"Sure, please share your destination location by following the steps below:

Tap 📎 > Location > Search Your Destination Address > Share.","ಖಚಿತವಾಗಿ, ಕೆಳಗಿನ ಹಂತಗಳನ್ನು ಅನುಸರಿಸುವ ಮೂಲಕ ದಯವಿಟ್ಟು ನಿಮ್ಮ ಗಮ್ಯಸ್ಥಾನ ಸ್ಥಳವನ್ನು ಹಂಚಿಕೊಳ್ಳಿ:

ಟ್ಯಾಪ್ 📎> ಸ್ಥಳ> ನಿಮ್ಮ ಗಮ್ಯಸ್ಥಾನ ವಿಳಾಸ> ಹಂಚಿಕೊಳ್ಳಿ.","ज़रूर, कृपया नीचे दिए गए चरणों का पालन करके अपना गंतव्य स्थान साझा करें:

टैप 📎> स्थान> अपना गंतव्य पता खोजें> शेयर करें।"
Request_Pickup_Location,"Please share your pickup location by following the steps below:

Tap 📎 > Location > Search Your Pickup Address > Share.

Or share your current location if you are at pickup spot.","ಕೆಳಗಿನ ಹಂತಗಳನ್ನು ಅನುಸರಿಸುವ ಮೂಲಕ ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪಿಕಪ್ ಸ್ಥಳವನ್ನು ಹಂಚಿಕೊಳ್ಳಿ:

ಟ್ಯಾಪ್ 📎> ಸ್ಥಳ> ನಿಮ್ಮ ಪಿಕಪ್ ವಿಳಾಸವನ್ನು ಹುಡುಕಿ> ಹಂಚಿಕೊಳ್ಳಿ.

ಅಥವಾ ನೀವು ಪಿಕಪ್ ಸ್ಪಾಟ್‌ನಲ್ಲಿದ್ದರೆ ನಿಮ್ಮ ಪ್ರಸ್ತುತ ಸ್ಥಳವನ್ನು ಹಂಚಿಕೊಳ್ಳಿ.","कृपया नीचे दिए गए चरणों का पालन करके अपना पिकअप स्थान साझा करें:

टैप 📎 > स्थान> अपना पिकअप पता> शेयर खोजें।

या यदि आप पिकअप स्पॉट पर हैं तो अपना वर्तमान स्थान साझा करें।"
Send_Invalid_Map_Location ,Sorry I did not understand that. Please do as suggested.,ಕ್ಷಮಿಸಿ ನನಗೆ ಅದು ಅರ್ಥವಾಗಲಿಲ್ಲ. ಸೂಚಿಸಿದಂತೆ ದಯವಿಟ್ಟು ಮಾಡಿ.,"क्षमा करें, मुझे यह समझ में नहीं आया। कृपया सुझाव के अनुसार करें।"
Calculate_Fare_Details,Your ride route has been confirmed. Getting estimates for you. 💰💰,ನಿಮ್ಮ ಸವಾರಿ ಮಾರ್ಗವನ್ನು ದೃಪಡಿಸಲಾಗಿದೆ. ನಿಮಗಾಗಿ ಅಂದಾಜುಗಳನ್ನು ಪಡೆಯುತ್ತಿದೆ. 💰💰,आपके सवारी मार्ग की पुष्टि की गई है। आपके लिए अनुमान प्राप्त करना। 💰💰
Closing_Conversation_For_No_Response,"I'm sorry, it seems that I haven't received a response from you. Closing the conversation. 
If you have any further questions or concerns, please feel free to reach out to me again in the future. 

Thank you for your time and have a great day! 👋👋","ಕ್ಷಮಿಸಿ, ನಾನು ನಿಮ್ಮಿಂದ ಪ್ರತಿಕ್ರಿಯೆ ಬಂದಿಲ್ಲ ಎಂದು ತೋರುತ್ತದೆ. ಸಂಭಾಷಣೆಯನ್ನು ಮುಚ್ಚುವುದು.
ನೀವು ಯಾವುದೇ ಹೆಚ್ಚಿನ ಪ್ರಶ್ನೆಗಳನ್ನು ಅಥವಾ ಕಾಳಜಿಗಳನ್ನು ಹೊಂದಿದ್ದರೆ, ದಯವಿಟ್ಟು ಭವಿಷ್ಯದಲ್ಲಿ ನನ್ನನ್ನು ಮತ್ತೆ ತಲುಪಲು ಹಿಂಜರಿಯಬೇಡಿ.

ನಿಮ್ಮ ಸಮಯಕ್ಕೆ ಧನ್ಯವಾದಗಳು ಮತ್ತು ಉತ್ತಮ ದಿನ! 👋👋","मुझे क्षमा करें, ऐसा लगता है कि मुझे आपसे कोई प्रतिक्रिया नहीं मिली है। बातचीत बंद करना।
यदि आपके पास कोई और प्रश्न या चिंता है, तो कृपया भविष्य में फिर से मेरे पास पहुंचने के लिए स्वतंत्र महसूस करें।

आपके समय के लिए धन्यवाद और एक महान दिन है! 👋👋"
Request_Booking_Type_Header,Kindly choose one of the options below that suits your needs.,ನಿಮ್ಮ ಅಗತ್ಯಗಳಿಗೆ ಸರಿಹೊಂದುವಂತಹ ಕೆಳಗಿನ ಆಯ್ಕೆಗಳಲ್ಲಿ ಒಂದನ್ನು ದಯವಿಟ್ಟು ಆರಿಸಿ.,कृपया नीचे दिए गए विकल्पों में से एक चुनें जो आपकी आवश्यकताओं के अनुरूप हो।
Request_Booking_Type_Body,"The estimated cost for this ride is between ₹$1 and ₹$2, based on a travel distance of $3 kilo meters to be covered in approximately $4 minutes.","ಈ ಸವಾರಿಯ ಅಂದಾಜು ವೆಚ್ಚವು ₹$1 ಮತ್ತು ₹$2 ರ ನಡುವೆ ಇರುತ್ತದೆ, ಇದು ಸುಮಾರು $3 ನಿಮಿಷಗಳಲ್ಲಿ $4 ಕಿಲೋಮೀಟರ್ ಪ್ರಯಾಣದ ಅಂತರವನ್ನು ಆಧರಿಸಿದೆ.","इस सवारी के लिए अनुमानित लागत लगभग $1 मिनट में कवर किए जाने वाले $2 किलोमीटर की यात्रा दूरी के आधार पर, ₹$3 और ₹ $4 के बीच है।"
Request_Booking_Type_Options_Auto,Auto-assign ⚡,ಸ್ವಯಂ-ನಿಯೋಜನೆ,स्वचालित-सौंपना ⚡
Request_Booking_Type_Options_Cancel_Ride,Choose manually ⏳,ಹಸ್ತಚಾಲಿತವಾಗಿ ಆಯ್ಕೆಮಾಡಿ,नियमावली रूप से चुनें ⏳
Request_Booking_Type_Options_Cancel_Booking,Cancel Booking ❌,ಬುಕಿಂಗ್ ರದ್ದುಗೊಳಿಸಿ,बुकिंग रद्द करें ❌
Fetch_Nearby_Rides,Please allow me a moment while I search for the optimal ride for you....,ನಾನು ನಿಮಗಾಗಿ ಸೂಕ್ತವಾದ ಸವಾರಿಗಾಗಿ ಹುಡುಕುತ್ತಿರುವಾಗ ದಯವಿಟ್ಟು ನನಗೆ ಒಂದು ಕ್ಷಣ ಅನುಮತಿಸಿ ....,कृपया मुझे एक पल की अनुमति दें जब मैं आपके लिए इष्टतम सवारी की खोज करता हूं ...।
Send_Retry_Selection_Header,Couldn't find any rides nearby. ,ಹತ್ತಿರದಲ್ಲಿ ಯಾವುದೇ ಸವಾರಿಗಳು ಸಿಗಲಿಲ್ಲ.,पास में कोई सवारी नहीं मिली।
Send_Retry_Selection_Body,How would you like to proceed with the ride search?,ರೈಡ್ ಹುಡುಕಾಟದೊಂದಿಗೆ ಮುಂದುವರಿಯಲು ನೀವು ಹೇಗೆ ಬಯಸುತ್ತೀರಿ?,आप सवारी खोज के साथ कैसे आगे बढ़ना चाहेंगे?
Send_Retry_Selection_Options_Retry,Retry Booking 🔁,ಮರುಪ್ರಯತ್ನ ಬುಕಿಂಗ್,बुकिंग का पुनः प्रयास करें 🔁
Send_Retry_Selection_Options_Cancel,Cancel Booking ❌ ,ಬುಕಿಂಗ್ ರದ್ದುಗೊಳಿಸಿ,बुकिंग रद्द करें ❌
Request_Choose_Ride_Header,"Woo-hoo, We found rides for you","ವೂ-ಹೂ, ನಾವು ನಿಮಗಾಗಿ ಸವಾರಿಗಳನ್ನು ಕಂಡುಕೊಂಡಿದ್ದೇವೆ","वू-हू, हमें आपके लिए सवारी मिली"
Request_Choose_Ride_Body,Please select one of the option below. Within 10 seconds.,ದಯವಿಟ್ಟು ಕೆಳಗಿನ ಆಯ್ಕೆಯಲ್ಲಿ ಒಂದನ್ನು ಆರಿಸಿ. 10 ಸೆಕೆಂಡುಗಳಲ್ಲಿ.,कृपया नीचे दिए गए विकल्प में से एक का चयन करें। 10 सेकंड के भीतर।
Request_Choose_Ride_List_Header,$1 - $2 ⭐,$1 - $2,$1 - $2 ⭐
Request_Choose_Ride_List_Description,Fare ₹$1 <> $2 mins away,ಶುಲ್ಕ ₹ $1 <> $2 ನಿಮಿಷಗಳು,किराया ₹ $1 <> $2 मिनट दूर
Assign_The_Ride,"$1 is $2 mins away.
Here's the information about your ride:
- Ride fare: ₹$3 (Cash/Use any UPI app)
- Vehicle number: $4","$1 $2 ನಿಮಿಷಗಳ ದೂರದಲ್ಲಿದ್ದಾರೆ.
ನಿಮ್ಮ ಸವಾರಿಯ ಬಗ್ಗೆ ಮಾಹಿತಿ ಇಲ್ಲಿದೆ:
- ಸವಾರಿ ಶುಲ್ಕ: ₹$3 (ನಗದು/ಯಾವುದೇ ಯುಪಿಐ ಅಪ್ಲಿಕೇಶನ್ ಬಳಸಿ)
- ವಾಹನ ಸಂಖ್ಯೆ: $4","$1 $2 मिनट दूर है।
यहाँ आपकी सवारी के बारे में जानकारी है:
- राइड किराया: ₹ $3 (नकद/किसी भी यूपीआई ऐप का उपयोग करें)
- वाहन संख्या: $4"
Driver_Arrived_Book,Your ride has arrived. Please share the OTP - $1 with the driver to start the ride.,ನಿಮ್ಮ ಸವಾರಿ ಬಂದಿದೆ. ಸವಾರಿ ಪ್ರಾರಂಭಿಸಲು ದಯವಿಟ್ಟು ಒಟಿಪಿ - $1 ಅನ್ನು ಚಾಲಕನೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳಿ.,आपकी सवारी आ गई है। कृपया सवारी शुरू करने के लिए ड्राइवर के साथ यह नंबर - $1 साझा करें।
Ride_Started_Update,"Your ride has started. You will be reaching your destination by $1 minutes.
Enjoy the ride 🛺🛺🛺","ನಿಮ್ಮ ಸವಾರಿ ಪ್ರಾರಂಭವಾಗಿದೆ. ನೀವು $1 ನಿಮಿಷಗಳವರೆಗೆ ನಿಮ್ಮ ಗಮ್ಯಸ್ಥಾನವನ್ನು ತಲುಪುತ್ತೀರಿ.
ಸವಾರಿ ಆನಂದಿಸಿ","आपकी सवारी शुरू हो गई है। आप $1 मिनट तक अपने गंतव्य तक पहुँचेंगे।
सवारी का आनंद लें 🛺🛺🛺"
Ride_Ended_Update,Reached your destination! Please pay ₹$1 to the driver directly.,ನಿಮ್ಮ ಗಮ್ಯಸ್ಥಾನವನ್ನು ತಲುಪಿದೆ! ದಯವಿಟ್ಟು ಡ್ರೈವರ್‌ಗೆ ನೇರವಾಗಿ ₹$1 ಪಾವತಿಸಿ.,अपने गंतव्य तक पहुँच गया! कृपया सीधे ड्राइवर को ₹ $1 का भुगतान करें।
Share_Driver_Rating_Header,Hope you had a comfortable ride with $1.,$1 ನೀವು ಆರಾಮದಾಯಕ ಸವಾರಿ ಹೊಂದಿದ್ದೀರಿ ಎಂದು ಭಾವಿಸುತ್ತೇವೆ.,आशा है कि आपके पास $1 के साथ एक आरामदायक सवारी थी।
Share_Driver_Rating_Body,"Kindly rate your ride, this will help us to serve you better. ","ದಯವಿಟ್ಟು ನಿಮ್ಮ ಸವಾರಿಯನ್ನು ರೇಟ್ ಮಾಡಿ, ಇದು ನಿಮಗೆ ಉತ್ತಮವಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ.","कृपया अपनी सवारी की दर करें, इससे हमें आपको बेहतर सेवा देने में मदद मिलेगी।"
Request_Choose_Ride_List_Header_1_star,⭐,⭐,⭐
Request_Choose_Ride_List_Description_1_star,Very Poor,ತುಂಬಾ ಕೆಟ್ಟದು,बहुत बुरा
Request_Choose_Ride_List_Header_2_star,⭐⭐,⭐⭐,⭐⭐
Request_Choose_Ride_List_Description_2_star,Poor,ಕೆಟ್ಟದು,बुरा
Request_Choose_Ride_List_Header_3_star,⭐⭐⭐,⭐⭐⭐,⭐⭐⭐
Request_Choose_Ride_List_Description_3_star,Avergae,ಪಾರದರ್ಶಕ,औसत
Request_Choose_Ride_List_Header_4_star,⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐
Request_Choose_Ride_List_Description_4_star,Good,ಒಳ್ಳೆಯ,अच्छा
Request_Choose_Ride_List_Header_5_star,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐
Request_Choose_Ride_List_Description_5_star,Excellent,ಅತ್ಯುತ್ತಮ,उत्कृष्ट
Ride_Request_Cancelled,Sorry to see you go 😢. Your ride has been cancelled.,ನೀವು ರದ್ದುಗೊಳಿಸುತ್ತಿರುವುದು ನಮಗೆ ಬೇಸರ ತಂದಿದೆ. ನಿಮ್ಮ ಸವಾರಿ ರದ್ದಾಗಿದೆ.,"क्षमा करें, आपको 😢 जाने के लिए खेद है। आपकी सवारी रद्द कर दी गई है।"
Error,"My Apologies 😕, something didn't work out as expected. 
Say 'Hello' to start again.","ನನ್ನ ಕ್ಷಮೆಯಾಚಿಸುತ್ತೇವೆ 😕, ನಿರೀಕ್ಷೆಯಂತೆ ಏನಾದರೂ ಕೆಲಸ ಮಾಡಲಿಲ್ಲ.
ಮತ್ತೆ ಪ್ರಾರಂಭಿಸಲು 'ಹಲೋ' ಎಂದು ಹೇಳಿ.","मेरी माफी 😕, कुछ उम्मीद के मुताबिक काम नहीं किया।
फिर से शुरू करने के लिए 'नमस्ते' कहें।"
